"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3ZXNP4Z39RLL6BPSPNEOMIWK5AJ7L8","www.funwithasl.net/static/landscape.mp4","landscape","land","robe","far","earth","A3760PCQD2MPIO","Choice 1","Fri Jun 27 03:51:59 UTC 2014"
"322ZSN9Z5GKC61FEWYI85XMR8LF4TO","www.funwithasl.net/static/caterpillar.mp4","caterpillar","lobster","butter","cook","repeat","A2P6VK1US8OTC5","Choice 1","Fri Jun 27 03:55:28 UTC 2014"
"3FO95NVK5C0IS74XIA9V3L1FYGLSR6","www.funwithasl.net/static/pig.mp4","pig","great","dragon","school","come","A3760PCQD2MPIO","Choice 1","Fri Jun 27 03:55:36 UTC 2014"
"3UEBBGULPFO14URSGK411X5KGPVFUE","www.funwithasl.net/static/minute.mp4","idea","goldfish","low","minute","turtle","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:56:05 UTC 2014"
"375VSR8FVW9FTJQBD233ZEYILVKRZ9","www.funwithasl.net/static/man.mp4","man","night","snake","rock","bite","A2P6VK1US8OTC5","Choice 1","Fri Jun 27 03:56:05 UTC 2014"
"31ANT7FQN824XBSJA9KTW6PHXNEH5V","www.funwithasl.net/static/mouse.mp4","mouse","repeat","caterpillar","kid","time","AIQB7XXL5K2FR","Choice 1","Fri Jun 27 03:58:17 UTC 2014"
"329E6HTMSW2SLM6N2BZXU17PB8RK3C","www.funwithasl.net/static/jungle.mp4","jungle","frog","rupee","mother","hood","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:57:44 UTC 2014"
"3QE4DGPGBRB81WT8CYJ16E72IR7G4R","www.funwithasl.net/static/go.mp4","go","sin","hell","see","wife","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:58:44 UTC 2014"
"35NNO802AVW8JV99KRY0QZQIOLUNIL","www.funwithasl.net/static/violin.mp4","violin","door","must","and","room","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:59:03 UTC 2014"
"3VDI8GSXAFT9KXGAO19ENQN7KD3G8Y","www.funwithasl.net/static/moment.mp4","want","cry","last","dog","moment","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:01:09 UTC 2014"
"3G57RS03HH50ILP1ROHM92JF84X25Z","www.funwithasl.net/static/soup.mp4","soup","poor","beg","bottle","arm","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:57:04 UTC 2014"
"3UEBBGULPFO14URSGK411X5KGPUUFS","www.funwithasl.net/static/kill.mp4","kill","bite","review","mud","man","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 03:58:08 UTC 2014"
"372AGES0I45QOOQWCKFI2TI7DVMRXC","www.funwithasl.net/static/robe.mp4","onward","earth","trophy","robe","sand","A1S88VQY8G8CNC","Choice 1","Fri Jun 27 04:01:04 UTC 2014"
"3K1H3NEY7LZL1SC159KU9I18V40DG1","www.funwithasl.net/static/fox.mp4","fox","night","make","boy","time","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:02:07 UTC 2014"
"3K3IX1W4S6RTGY2OOIJFDQ7UBSPPAE","www.funwithasl.net/static/gray.mp4","gray","hear","door","afternoon","manitoba","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:06:56 UTC 2014"
"37J05LC5AXJVSU22DF5X6VTONWHDJ5","www.funwithasl.net/static/pole.mp4","pole","course","next","book","and","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:06:33 UTC 2014"
"3D1TUISJWI0LELTIHSAM4UICWHMUIJ","www.funwithasl.net/static/brief.mp4","brief","glory","fix","england","price","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:06:51 UTC 2014"
"3Y7LTZE0YTM79BISHWY84PL2SUOZUL","www.funwithasl.net/static/face.mp4","face","church","say","soul","room","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:05:01 UTC 2014"
"3WRAAIUSBJZYP74FA9TW73TXDRYXAA","www.funwithasl.net/static/aunt.mp4","way","come","old","nobody","aunt","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:07:36 UTC 2014"
"3KA7IJSNW65YZ87GUWJB81R0TAAPB9","www.funwithasl.net/static/cabin.mp4","yes","make","cabin","thursday","mermaid","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:04:14 UTC 2014"
"3BFF0DJK8XCV8MHPMZEQ302XM1ISTJ","www.funwithasl.net/static/twin.mp4","twin","know","put","complain","night","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:04:58 UTC 2014"
"35YHTYFL1G31H9GSLAE6XJ73UW4VFJ","www.funwithasl.net/static/room.mp4","dare","mother","hear","easy","room","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:07:16 UTC 2014"
"30EMX9PEVKJW53R2SQ0Y29F13ORKS5","www.funwithasl.net/static/hippopotamus.mp4","hippopotamus","away","needle","wet","light","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:05:28 UTC 2014"
"31N9JPQXIPI8N0YPE9GFQNP3O8FNHS","www.funwithasl.net/static/dear.mp4","dear","prince","centipede","big","back","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:07:43 UTC 2014"
"3HEA4ZVWVDMSHI8O97JK79MRSEO553","www.funwithasl.net/static/and.mp4","and","half","professor","great","big","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:08:19 UTC 2014"
"344M16OZKIFW3Q7NO8895KSQWSNNEC","www.funwithasl.net/static/chicken.mp4","chicken","home","everyone","yawn","boy","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:08:44 UTC 2014"
"3XD2A6FGFNUCO78BOT99C01LSUES9I","www.funwithasl.net/static/eye.mp4","eye","church","marry","nothing","auction","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:08:30 UTC 2014"
"3PA41K45VN4BXW4QHF7V3Z54AKJP7N","www.funwithasl.net/static/ill.mp4","ill","room","scared","new","tower","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:09:41 UTC 2014"
"371Q3BEXDH9RUYQOSR38PO3E7X3ZS5","www.funwithasl.net/static/minister.mp4","minister","manitoba","marry","sin","music","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:09:56 UTC 2014"
"33K3E8REWWVK6JB0DB9IBCN2N3YX86","www.funwithasl.net/static/round.mp4","round","rose","way","first","grass","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:12:47 UTC 2014"
"3MXX6RQ9EV5EE9M7FH9O0NLUJITP43","www.funwithasl.net/static/garden.mp4","garden","india","tree","key","keep","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:13:35 UTC 2014"
"379OL9DBSSE9KTKKNZ1YUMPM9FBY93","www.funwithasl.net/static/bell.mp4","bell","voice","hand","tell","room","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:10:38 UTC 2014"
"35XW21VSVGE7P99KDQCZH9SGSOWSLG","www.funwithasl.net/static/sledge.mp4","sledge","fade","sacrifice","remote","exist","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:11:47 UTC 2014"
"3O71U79SRBPRVRR5D2DEHM75STMSMI","www.funwithasl.net/static/India.mp4","india","new","find","something","curious","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:10:58 UTC 2014"
"35A1YQPVFEG4T633GR2EWIQWX0UI5Q","www.funwithasl.net/static/tail.mp4","tail","inside","dear","next","minister","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:14:02 UTC 2014"
"30OITAWPBQ3NYYUVDZXA8MUJJJXH9M","www.funwithasl.net/static/beach.mp4","village","yell","beach","mud","side","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:10:06 UTC 2014"
"3RKHNXPHGWWCKGJ6HVVYHAXPOLBUKU","www.funwithasl.net/static/poor.mp4","poor","fish","manager","friend","pan","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:11:38 UTC 2014"
"3RKHNXPHGWWCKGJ6HVVYHAXPOLCKUL","www.funwithasl.net/static/Jordan.mp4","feel","jordan","sweet","home","i","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:11:29 UTC 2014"
"3W3RSPVVGSRN4M1O2V7ZWAA4DLGULX","www.funwithasl.net/static/manager.mp4","go","friend","away","circus","manager","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:10:25 UTC 2014"
"3HEADTGN2PSYKZL1C5E0E8LMXKERV9","www.funwithasl.net/static/large.mp4","large","beg","telescope","bottle","mad","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:10:35 UTC 2014"
