"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"39TX062QX1OY5M5U1UEMKVFR7OB3X3","www.funwithasl.net/static/sign177.html","crane","danger","gray","permission","ice","A2QLSHXNCHBRN4","Choice 1","Sat Jul 05 22:26:27 UTC 2014"
"3BO3NEOQM0H1ZCFKBNTV4T6IPKYIAB","www.funwithasl.net/static/sign65.html","side","drunk","plain","scarce","come","A2QLSHXNCHBRN4","Choice 1","Sat Jul 05 22:27:21 UTC 2014"
"3PN6H8C9R4QKR1ZYJ9SKDWQ5XFQAD1","www.funwithasl.net/static/sign140.html","dream","hall","tower","build","nurse","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:28:19 UTC 2014"
"3TCFMTM8HEO1U3OIQ1FA6C6YWVW12Y","www.funwithasl.net/static/sign223.html","people","prince","gold","dark","but","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:28:06 UTC 2014"
"3FCO4VKOZ4D705F081RK9N60WKME7A","www.funwithasl.net/static/sign343.html","down","icicle","rattle","parallel","shallow","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:29:23 UTC 2014"
"32TZXEA1OLKBXH35UFYYZR3WG9S14U","www.funwithasl.net/static/sign241.html","time","witch","dear","something","tower","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:29:06 UTC 2014"
"39XCQ6V3KY4O0M82EQTPZF0ROF256Y","www.funwithasl.net/static/sign248.html","cry","only","police","north","people","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:30:25 UTC 2014"
"3GV1I4SEO9P22BBN6D9WG4WOA52L62","www.funwithasl.net/static/sign269.html","little","elephant","head","council","rupee","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:30:09 UTC 2014"
"3RHLQY6EDT45PCJHA8IT0T4555UD4T","www.funwithasl.net/static/sign106.html","building","dark","metal","motor","sea","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:32:37 UTC 2014"
"3OCZWXS7ZO76J7B91UZROYIOEARL5M","www.funwithasl.net/static/sign254.html","seal","afraid","pack","tent","yell","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:35:02 UTC 2014"
"3C8QQOM6JP1IVV6O8EILD7MTJWXLIW","www.funwithasl.net/static/sign170.html","sometimes","tail","uniform","yellow","neck","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:35:22 UTC 2014"
"3BS6ERDL937J4ZNVTWB8XROJ1W0D6E","www.funwithasl.net/static/sign116.html","come","city","know","room","ear","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:35:35 UTC 2014"
"3SR6AEG6W5T2ZZ23LBPQ73NASYMYH8","www.funwithasl.net/static/sign69.html","good","powder","house","honest","face","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:35:52 UTC 2014"
"3WPCIUYH1A8P6XY7P9J181GXL4BTD5","www.funwithasl.net/static/sign324.html","snow","region","observe","green","rage","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:36:08 UTC 2014"
"3VGET1QSZ0Z1H51RT1LQVTD03NQW75","www.funwithasl.net/static/sign371.html","surgeon","inform","ready","net","court","A2F7D8EOTB663","Choice 1","Sat Jul 05 22:37:23 UTC 2014"
"3K1H3NEY7LZL1SC159KU9I18VA3DGG","www.funwithasl.net/static/sign180.html","most","cap","fine","white","greenland","A2F7D8EOTB663","Choice 1","Sat Jul 05 22:36:49 UTC 2014"
"3Q7TKIAPOTA1NKQ2G0HAMA6GRRPLDU","www.funwithasl.net/static/sign119.html","machine","building","noble","telegram","castle","A2WNW8A4MOR7T7","Choice 1","Sat Jul 05 22:36:22 UTC 2014"
"37VHPF5VYC3W3L05MFDVXZ2SMRE8CV","www.funwithasl.net/static/sign289.html","cow","time","seal","rock","peacock","A841FR9QWUPT4","Choice 1","Sat Jul 05 22:39:03 UTC 2014"
"3U74KRR67MLYS9PKE3X446SRZ8DNTH","www.funwithasl.net/static/sign77.html","round","great","put","fog","ill","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:39:13 UTC 2014"
"3DIIW4IV8PVMXNZ32MJ4RQKIXA2I40","www.funwithasl.net/static/sign18.html","locker","classroom","hear","awful","spider","A2F7D8EOTB663","Choice 1","Sat Jul 05 22:39:15 UTC 2014"
"3IH9TRB0FBZ55O2KF402TSDFLRT1I9","www.funwithasl.net/static/sign396.html","diamond","son","carry","island","fish","A841FR9QWUPT4","Choice 1","Sat Jul 05 22:39:22 UTC 2014"
"3UXQ63NLAAM88NSI24Q4RKIGO7EBLG","www.funwithasl.net/static/sign347.html","equal","rival","remote","brief","december","A841FR9QWUPT4","Choice 1","Sat Jul 05 22:39:41 UTC 2014"
"3SNR5F7R92T4PPWWRSVH0CW9AZWIE6","www.funwithasl.net/static/sign82.html","moment","sea","tobacco","pirate","sure","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:40:04 UTC 2014"
"37SOB9Z0SSX35SO5NBBY91K40F13LH","www.funwithasl.net/static/sign87.html","cut","eye","tobacco","point","tide","A2F7D8EOTB663","Choice 1","Sat Jul 05 22:40:44 UTC 2014"
"3JTPR5MTZSCVZ1TRGUNQ9Y59PAM5K3","www.funwithasl.net/static/sign354.html","prevent","father","surgeon","slave","day","A841FR9QWUPT4","Choice 1","Sat Jul 05 22:40:55 UTC 2014"
"3OPLMF3EU5NA9WHF5UVDIFIA5VRNLE","www.funwithasl.net/static/sign7.html","everyone","head","play","something","classroom","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:40:40 UTC 2014"
"3ZQA3IO31BRF1ADNDZD7DP91XZRO1O","www.funwithasl.net/static/sign364.html","time","present","beg","journey","court","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:41:46 UTC 2014"
"3M47JKRKCX17N4R4CO0SBZAIQ53863","www.funwithasl.net/static/sign39.html","funny","swim","poor","jealous","write","A1IV0802ICNA0A","Choice 1","Sat Jul 05 22:41:35 UTC 2014"
"3M4KL7H8KVNPC47JD3RDWPNAC0Y16F","www.funwithasl.net/static/sign267.html","council","swim","neck","leader","calf","A841FR9QWUPT4","Choice 1","Sat Jul 05 22:40:36 UTC 2014"
"3RSBJ6YZECQ6RP7VKYSS2RDVY9AFOG","www.funwithasl.net/static/sign66.html","dead","gun","shot","round","flag","A2F7D8EOTB663","Choice 1","Sat Jul 05 22:42:00 UTC 2014"
