"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3HEM8MA6H9CL3E95DEG13QMZFBSPQ4","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","A2WQ3ZGXUF5FHO","Choice 1","Fri Jun 27 23:57:07 UTC 2014"
"3WGZLY9VCHM68D6JMB86H5KA7M48DZ","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:34:48 UTC 2014"
"35A1YQPVFEG4T633GR2EWIQWX1B5IW","www.funwithasl.net/static/sign16.mp4","bird","fly","alone","leaf","cool","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:36:20 UTC 2014"
"3N5YJ55YXG3TDDQB836N912ZBE5NAZ","www.funwithasl.net/static/sign7.mp4","guess","school","want","back","try","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:40:10 UTC 2014"
"3NCN4N1H1GHYWNV3EH6J4CM5TWQNBU","www.funwithasl.net/static/sign18.mp4","away","bed","boy","hand","eye","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:41:26 UTC 2014"
"306996CF6WKVIGOE9U8L7592QVMB1B","www.funwithasl.net/static/sign2.mp4","bat","mother","home","bicycle","put","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:43:56 UTC 2014"
"3XT3KXP24ZY0CA3HLACJOO4WTWLI6O","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:46:07 UTC 2014"
"3PR3LXCWSFZKKOUAI3FWB8ID7AX9XQ","www.funwithasl.net/static/sign5.mp4","key","tea","cat","ill","lesson","A18TCR555RWUZV","Choice 2","Fri Jun 27 23:48:50 UTC 2014"
"31D0ZWOD0AZQSHY47X4PYP6M3LUA0B","www.funwithasl.net/static/sign14.mp4","good","milk","bag","tomorrow","grandmother","A3HB9PPUZU565U","Choice 2","Fri Jun 27 23:59:30 UTC 2014"
"35A1YQPVFEG4T633GR2EWIQWX1AI58","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:33:45 UTC 2014"
"3B623HUYJ4QCA2P1J13VC46A8PDS8C","www.funwithasl.net/static/sign11.mp4","sky","forest","soft","sorrow","bring","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:34:33 UTC 2014"
"3QQUBC64ZEE59QY4JDY1T9DXCZEXND","www.funwithasl.net/static/sign17.mp4","music","sand","nothing","know","people","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:39:37 UTC 2014"
"3PUOXASB5739PJUPJL3H8TYOFAV9ZN","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:43:30 UTC 2014"
"3ICOHX7ENCBTIUFGN26BU8WDO0T0EX","www.funwithasl.net/static/sign12.mp4","white","good","keep","talk","tea","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:45:33 UTC 2014"
"37VHPF5VYC3W3L05MFDVXZ2SMMS8CZ","www.funwithasl.net/static/sign1.mp4","dinner","grandfather","everything","last","room","A18TCR555RWUZV","Choice 3","Fri Jun 27 23:48:41 UTC 2014"
"3ZTE0JGGCESZODNLTW2RULSS1RVCO5","www.funwithasl.net/static/sign20.mp4","sleigh","bread","shoot","cottage","wife","A3HB9PPUZU565U","Choice 3","Fri Jun 27 23:58:10 UTC 2014"
"3G5RUKN2EC3F8UG6GXSND6RF5WNN9K","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","A18TCR555RWUZV","Choice 4","Fri Jun 27 23:36:05 UTC 2014"
