"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"34ZTTGSNJXOTQXBHU18WUHK8TJ2HQ9","www.funwithasl.net/static/caterpillar.mp4","caterpillar","lobster","butter","cook","repeat","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:15:13 UTC 2014"
"391FPZIE4CMLIQIYBAS14IHXW48HUE","www.funwithasl.net/static/deal.mp4","deal","next","week","many","hand","A2M18L7COHRV57","Word 1","Fri Jun 27 00:13:56 UTC 2014"
"3S1WOPCJFGT0K0G29AGHCDB9N8HEJY","www.funwithasl.net/static/soup.mp4","soup","poor","beg","bottle","arm","AO3XB5I5QNNUI","Word 1","Fri Jun 27 00:15:49 UTC 2014"
"3UAU495MIISVA74LFNNROREY8QLOU8","www.funwithasl.net/static/mouse.mp4","mouse","repeat","caterpillar","kid","time","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:17:27 UTC 2014"
"3SBNLSTU6U5LS976V18JUPHE6UTZDB","www.funwithasl.net/static/land.mp4","earth","round","land","onward","rush","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:16:03 UTC 2014"
"35JDMRECC49QTYQ114VEF0JTVG0EGU","www.funwithasl.net/static/twin.mp4","twin","know","put","complain","night","A2M18L7COHRV57","Word 1","Fri Jun 27 00:18:48 UTC 2014"
"3HO4MYYR12O5L1YHFR1X7RS7NQRU6P","www.funwithasl.net/static/get.mp4","get","give","boy","feed","help","A2M18L7COHRV57","Word 1","Fri Jun 27 00:20:09 UTC 2014"
"3W31J70BASWGYM26V4AYN4BJHL5KCB","www.funwithasl.net/static/check.mp4","check","business","voice","put","knee","A2M18L7COHRV57","Word 1","Fri Jun 27 00:20:22 UTC 2014"
"3D0LPO3EABZCRGOQPOKGRCKB4EWOY6","www.funwithasl.net/static/pony.mp4","pony","pat","young","horse","time","AO3XB5I5QNNUI","Word 1","Fri Jun 27 00:20:23 UTC 2014"
"3UXQ63NLAAM88NSI24Q4RKIGO09BLX","www.funwithasl.net/static/moon.mp4","reindeer","moon","old","sea","figure","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:19:53 UTC 2014"
"3NC6WP7WJHKG7K2S19T2N9CHW8VWWR","www.funwithasl.net/static/minute.mp4","idea","goldfish","low","minute","turtle","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:21:17 UTC 2014"
"3AJA9FLWSCYWV3WSM3FNIUH9MU8FI6","www.funwithasl.net/static/large.mp4","large","beg","telescope","bottle","mad","AO3XB5I5QNNUI","Word 1","Fri Jun 27 00:22:36 UTC 2014"
"36JW4WBR06KWZ8L8GLX2IIGUMHTFHD","www.funwithasl.net/static/child.mp4","tiger","chapter","child","room","time","A2WNW8A4MOR7T7","Word 1","Fri Jun 27 00:22:18 UTC 2014"
"3VIVIU06FKC21DO98QJ0DK1IJVJMIJ","www.funwithasl.net/static/know.mp4","know","man","dog","check","say","AO3XB5I5QNNUI","Word 1","Fri Jun 27 00:22:25 UTC 2014"
"3FBEFUUYRK5L6SKJ9MK67QGDGN0A6U","www.funwithasl.net/static/pirate.mp4","bed","pirate","dog","knuckle","come","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:13:01 UTC 2014"
"334ZEL5JX6FFVUCHQISR9QWANT0OSS","www.funwithasl.net/static/mermaid.mp4","knee","away","bird","first","mermaid","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:14:35 UTC 2014"
"3P520RYKCH692XY3A8RSFLE7RVGU59","www.funwithasl.net/static/sunset.mp4","snow","magician","war","bison","sunset","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:15:05 UTC 2014"
"31SIZS5W59F6FRPKQ6KQ8LMEGSZRQF","www.funwithasl.net/static/puppy.mp4","bottle","puppy","time","lobster","goldfish","A2M18L7COHRV57","Word 2","Fri Jun 27 00:17:42 UTC 2014"
"3VP28W7DUNKIQTL2M739IPKZI79ZFM","www.funwithasl.net/static/horse.mp4","road","put","horse","pony","knee","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:17:51 UTC 2014"
"3XDJY5RK5SLR6EU3W38IAT8TRZLU44","www.funwithasl.net/static/reindeer.mp4","west","swan","landscape","heart","reindeer","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:15:52 UTC 2014"
"3OND0WXMHWF4TULCLADW00VUAGDEHT","www.funwithasl.net/static/boy.mp4","barbecue","check","measles","get","boy","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:16:49 UTC 2014"
"336OE47KI2K3SV2NBZO617T3PZTWVH","www.funwithasl.net/static/flamingo.mp4","sentence","word","way","flamingo","come","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:15:59 UTC 2014"
"3SNR5F7R92T4PPWWRSVH0CW9ATSEIM","www.funwithasl.net/static/know.mp4","tell","know","bus","lovely","game","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:18:27 UTC 2014"
"3VEI3XUCZRXLFFO5QT518GW4BWDRPO","www.funwithasl.net/static/know.mp4","must","know","size","repeat","latitude","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:18:20 UTC 2014"
"3DTJ4WT8BDFQKFL6RWJ307ZZ66UZE4","www.funwithasl.net/static/robe.mp4","onward","earth","trophy","robe","sand","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:18:38 UTC 2014"
"307L9TDWJYSTTSRQZORDMTOT53XN3L","www.funwithasl.net/static/road.mp4","side","road","high","boy","good","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:19:38 UTC 2014"
"3WGCNLZJKF8OXDMYNQZR2VX2TFHD11","www.funwithasl.net/static/day.mp4","round","kick","young","week","day","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:19:58 UTC 2014"
"3UQVX1UPFSH1NE30UIBAS7NORWM20E","www.funwithasl.net/static/snow.mp4","sun","snow","singer","village","fish","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:21:45 UTC 2014"
"3NCN4N1H1GHYWNV3EH6J4CM5TV9BNZ","www.funwithasl.net/static/hard.mp4","right","hard","check","little","fast","A2WNW8A4MOR7T7","Word 2","Fri Jun 27 00:21:57 UTC 2014"
"3TL87MO8CMPYL44Y76C0AA913Y2FLK","www.funwithasl.net/static/gentleman.mp4","gate","gentleman","pony","better","lady","A2M18L7COHRV57","Word 2","Fri Jun 27 00:21:33 UTC 2014"
"3FO95NVK5C0IS74XIA9V3L1FYGKRS4","www.funwithasl.net/static/rein.mp4","meadow","rein","accident","license","check","A2M18L7COHRV57","Word 2","Fri Jun 27 00:20:52 UTC 2014"
"3FULMHZ7OUX8T6PUN1HWJJRZEDJ4MN","www.funwithasl.net/static/time.mp4","way","time","crocodile","knee","bell","AO3XB5I5QNNUI","Word 2","Fri Jun 27 00:22:17 UTC 2014"
"3BC9H1KCYUCKWPXSGABQ86XX7GVWYQ","www.funwithasl.net/static/head.mp4","drive","place","head","leg","wish","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:11:12 UTC 2014"
