"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3N2YPY1GI6Y9BVGWQZU0F1M3I2HVE7","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1GKEEI844CEKI","Choice 1","Tue Jul 08 13:03:59 UTC 2014"
"3YD0MU1NC214ASYOSWPYD4G9B5CA7Z","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A3VGZ0GXXNJIY8","Choice 1","Tue Jul 08 13:07:27 UTC 2014"
"3ZRKL6Z1E83R3HVJ2ZFJ4HN8WE2SGG","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:08:57 UTC 2014"
"33Q5P9PUSPMBNH1SV5D8AJZWL1ACZV","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 12:57:26 UTC 2014"
"3LN50BUKPVBACHTSL985M4N55BHPL3","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 12:58:19 UTC 2014"
"338GLSUI43BLPHZORF91MWNWVZ2SFH","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:00:45 UTC 2014"
"322ZSN9Z5GKC61FEWYI85XMR8S74TU","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","AOPG07J95DDJT","Choice 2","Tue Jul 08 13:03:19 UTC 2014"
"385MDVINFCFU102TUAANYJI9UJEWJ2","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:05:02 UTC 2014"
"3KLL7H3EGD1LV57YG02604JGAI9HV9","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:04:52 UTC 2014"
"3SCKNODZ0XGBUBSD10U3ZA09ACB7NG","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:05:32 UTC 2014"
