"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3FI30CQHVKJQP2PBF0K2210JYCY6BC","www.funwithasl.net/static/sign349.html","rage","permit","rush","retreat","england","A2WNW8A4MOR7T7","Choice 2","Mon Jul 07 01:27:31 UTC 2014"
"33EEIIWHK77Y8Y61ZQP09IBH15QQVZ","www.funwithasl.net/static/sign219.html","sleep","geography","bottle","great","page","A2WNW8A4MOR7T7","Choice 2","Mon Jul 07 01:27:55 UTC 2014"
"388CL5C1RJNIZ0V42W00DVLEJKSLHF","www.funwithasl.net/static/sign218.html","lantern","soccer","princess","slide","crown","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:27:45 UTC 2014"
"3J5XXLQDHMB61X0Z1FD4WAI6RDC3V9","www.funwithasl.net/static/sign336.html","atmosphere","fade","reign","travel","familiar","A2WNW8A4MOR7T7","Choice 1","Mon Jul 07 01:28:10 UTC 2014"
"3BFF0DJK8XCV8MHPMZEQ302XM8UST9","www.funwithasl.net/static/sign101.html","end","away","beautiful","course","parrot","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:28:20 UTC 2014"
"3NOEP8XAU425CBAHZSBTXYISCKBPX9","www.funwithasl.net/static/sign30.html","locker","baby","eye","come","nice","A2WNW8A4MOR7T7","Choice 4","Mon Jul 07 01:29:16 UTC 2014"
"3D5G8J4N5A4B0EYTGUJVENM4LCPTVG","www.funwithasl.net/static/sign144.html","palm","captain","doll","judge","sea","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:28:29 UTC 2014"
"3K1H3NEY7LZL1SC159KU9I18VBDGDV","www.funwithasl.net/static/sign283.html","shoulder","neck","get","kite","hood","A2WNW8A4MOR7T7","Choice 2","Mon Jul 07 01:28:58 UTC 2014"
"3MGHRFQY2LPROZW7N3I51BOT6IU0YK","www.funwithasl.net/static/sign306.html","forest","region","sleigh","shine","sad","A2WNW8A4MOR7T7","Choice 3","Mon Jul 07 01:28:50 UTC 2014"
"3DIIW4IV8PVMXNZ32MJ4RQKIXBD4IZ","www.funwithasl.net/static/sign341.html","layer","bury","individual","human","autumn","A2WNW8A4MOR7T7","Choice 2","Mon Jul 07 01:28:38 UTC 2014"
"3TRB893CSJA5KJBREWH89QRC90AG72","www.funwithasl.net/static/sign231.html","pig","great","away","big","queen","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:29:32 UTC 2014"
"3EAWOID6MTXAK512ISVLUCKZO1S0VB","www.funwithasl.net/static/sign136.html","captain","chess","motor","sound","voice","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:29:43 UTC 2014"
"3W0XM68YZPVWBJS8F7LE68SSDVS1KU","www.funwithasl.net/static/sign263.html","tree","must","tiger","hood","tent","A2WNW8A4MOR7T7","Choice 4","Mon Jul 07 01:29:07 UTC 2014"
"3W9XHF7WGKVXK34HHQ5OCEBN5EITKU","www.funwithasl.net/static/sign15.html","bed","easy","swimming","hope","better","A2WNW8A4MOR7T7","Choice 2","Mon Jul 07 01:29:23 UTC 2014"
"3NKW03WTLM7BNN66P0UWVKUV8ESQW9","www.funwithasl.net/static/sign87.html","cut","eye","tobacco","point","tide","A2WNW8A4MOR7T7","Choice 5","Mon Jul 07 01:30:09 UTC 2014"
