
Sign Name,  Choice 1,  Choice 2,  Choice 3,  Choice 4,  Choice 5
www.funwithasl.net/static/sister.mp4, dinner, direction, play, sister, bird
www.funwithasl.net/static/mother.mp4, shout, mother, hungry, home, scarecrow
www.funwithasl.net/static/man.mp4, man, king, kill, polite, angry
www.funwithasl.net/static/kitchen.mp4, witch, applaud, happy, music, kitchen
www.funwithasl.net/static/grandmother.mp4, shout, answer, grandmother, jump, whisper
www.funwithasl.net/static/home.mp4, home, deaf, sick, hungry, face
www.funwithasl.net/static/kid.mp4, Smell, sick, old, kid, short
www.funwithasl.net/static/milk.mp4, clean, spinach, water, coffee, milk
www.funwithasl.net/static/school.mp4, school, applaud, music, television, quarrel
www.funwithasl.net/static/breakfast.mp4, restaurant, hungry, supermarket, breakfast, stomach-ache
================================================

www.funwithasl.net/static/crocodile.mp4, crocodile, bird, lion, cat, squirrel
www.funwithasl.net/static/military.mp4, police, teacher, parent, military, driver
www.funwithasl.net/static/path.mp4, rain, path, forest, cloud, soil
www.funwithasl.net/static/spider.mp4, sparrow, spider, butterfly, squirrel, rabbit
www.funwithasl.net/static/monkey.mp4, clown, healthy, overweight, playful, monkey
www.funwithasl.net/static/winter.mp4, winter, prairie, open, rain, cloud
www.funwithasl.net/static/baseball.mp4, battle, warrior, baseball, sport, angry
www.funwithasl.net/static/cry.mp4, coffee, cry, silly, feather, snow
www.funwithasl.net/static/perspective.mp4, telescope, respect, stupid, perspective, wild
www.funwithasl.net/static/ignorance.mp4, head, ignorance, silly, playful, intelligence
