"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"

"3MD8CKRQZZNPT4L7VG0HBKAS240JRN","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1GGOZPHYU0OC0","Choice 2","Tue Jul 08 06:27:27 UTC 2014"
"3S8A4GJRD335YGNHKHB23DUQ14T6VX","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:51:14 UTC 2014"
"3S1WOPCJFGT0K0G29AGHCDB9NFAEJ5","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:06:04 UTC 2014"
"366FYU4PTGPVVKMKRVGTDSBM24AEK4","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:47:54 UTC 2014"
"37OPIVELUU313H4055BA4H53P88HA8","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:19:08 UTC 2014"
"362E9TQF2HQ293SNXNL50FHLNGZGIB","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:38:08 UTC 2014"
"3EKTG13IZU34REWFTTGD50TA065LM2","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:33:29 UTC 2014"
"3WUVMVA7OB3NU24UBRHH4O98LYOAZQ","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1IV0802ICNA0A","Choice 3","Tue Jul 08 06:00:20 UTC 2014"
"3M7OI89LVYO9Z7HHT0GXDL61GXDC64","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A841FR9QWUPT4","Choice 5","Tue Jul 08 05:36:20 UTC 2014"
"31KPKEKW4ADVBR3WDB4LT0QSL9QB0U","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:34:36 UTC 2014"
"3RBI0I35XE3N5RV46Q0O39M09UT3YX","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A1GGOZPHYU0OC0","Choice 1","Tue Jul 08 06:40:37 UTC 2014"
"3X2YVV51PU4N6JMP4L4HUJMN02EW1Y","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:49:57 UTC 2014"
"335VBRURDJ0BEO3TNYP4NJX6RAY9E5","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A3HB9PPUZU565U","Choice 4","Tue Jul 08 05:55:37 UTC 2014"
"3PN6H8C9R4QKR1ZYJ9SKDWQ5XGEDAU","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:30:10 UTC 2014"
"3BPP3MA3TCK6FQ42CVSUSSO1R4FEL7","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:44:09 UTC 2014"
"39WICJI5ATSNAH592C27HGV2FOX3ZO","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A1GGOZPHYU0OC0","Choice 4","Tue Jul 08 06:38:02 UTC 2014"
"3CESM1J3EI3ID5NMARGYPFD48DV6W7","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A3HB9PPUZU565U","Choice 5","Tue Jul 08 05:48:21 UTC 2014"
"359AP8GAGGKS37VMCALPJZ6XB8XC73","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:04:16 UTC 2014"
"3QO7EE372ONJZK8VU9Y086HAYDOQB7","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:27:08 UTC 2014"
"337F8MIIMZDBQSINYWUYLMKMBHA40I","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A1GGOZPHYU0OC0","Choice 2","Tue Jul 08 06:29:38 UTC 2014"

"3AQN9REUTFGLNJX1ZF60GI8C07HYDP","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:43:01 UTC 2014"
"34F34TZU7WZ8PK4MGQLGAC2KQCJJ27","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1IV0802ICNA0A","Choice 4","Tue Jul 08 06:03:39 UTC 2014"
"3DA79LNS59VRO5WAWKDPVSULUSB3T8","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:28:06 UTC 2014"
